Campaign Type,Placement,Device,Spend,Impressions,Views,Clicks,Conversions,Ad Type,date
Retargeting,Instagram,Desktop,83.92,1678,715,71,46.0,Lifestyle,2024-02-13
CRM,GDN,Desktop,65.86,1448,277,19,15.0,Lifestyle,2024-02-13
Prospecting,GDN,Mobile,99.59,2489,538,26,31.0,Lifestyle,2024-02-13
Prospecting,Facebook Audience Network,Desktop,61.6,1539,84,4,15.0,Infographic,2024-02-13
Retargeting,Facebook News Feed,Mobile,134.25,2684,440,44,46.0,Lifestyle,2024-02-13
Retargeting,GDN,Desktop,97.43,1948,721,72,61.0,Product,2024-02-13
Retargeting,Facebook Audience Network,Desktop,80.5,1609,649,64,31.0,Infographic,2024-02-13
CRM,Instagram,Desktop,67.58,1486,171,11,15.0,Infographic,2024-02-13
Prospecting,Instagram,Mobile,73.3,1832,851,42,46.0,Product,2024-02-13
Prospecting,Instagram,Mobile,78.77,1969,338,16,15.0,Lifestyle,2024-02-13
Retargeting,Instagram,Desktop,91.91,1838,667,66,46.0,Product,2024-02-13
CRM,Facebook Audience Network,Desktop,51.83,1140,228,15,15.0,Product,2024-02-13
CRM,Facebook News Feed,Mobile,67.24,1479,178,12,15.0,Infographic,2024-02-13
Retargeting,Facebook Audience Network,Mobile,94.27,1885,246,24,15.0,Lifestyle,2024-02-13
Retargeting,Facebook News Feed,Mobile,71.27,1425,673,67,61.0,Lifestyle,2024-02-13
Retargeting,Instagram,Desktop,111.02,2220,729,72,46.0,Lifestyle,2024-02-13
Retargeting,GDN,Mobile,75.89,1517,316,31,31.0,Product,2024-02-13
Prospecting,GDN,Mobile,62.7,1567,285,14,15.0,Infographic,2024-02-13
Retargeting,GDN,Mobile,123.85,2477,75,7,15.0,Infographic,2024-02-13
Retargeting,Facebook News Feed,Mobile,76.07,1521,451,45,31.0,Infographic,2024-02-13
Prospecting,Instagram,Mobile,45.25,1131,203,10,15.0,Lifestyle,2024-02-13
Retargeting,Facebook Audience Network,Mobile,112.46,2249,423,42,31.0,Lifestyle,2024-02-13
Retargeting,GDN,Mobile,93.92,1878,734,73,61.0,Infographic,2024-02-13
Retargeting,Facebook News Feed,Desktop,95.65,1912,192,19,15.0,Product,2024-02-13
Retargeting,GDN,Mobile,93.71,1874,292,29,15.0,Infographic,2024-02-13
Prospecting,Facebook Audience Network,Desktop,83.48,2086,896,44,31.0,Product,2024-02-13
Retargeting,Instagram,Desktop,84.95,1698,780,78,46.0,Infographic,2024-02-13
Prospecting,Facebook Audience Network,Mobile,102.14,2553,300,15,15.0,Product,2024-02-13
Prospecting,Instagram,Desktop,57.86,1446,259,12,15.0,Infographic,2024-02-13
Retargeting,Instagram,Desktop,108.9,2177,1003,100,61.0,Lifestyle,2024-02-13
Prospecting,Instagram,Mobile,89.63,2240,615,30,15.0,Lifestyle,2024-02-13
Retargeting,GDN,Desktop,84.81,1696,431,43,31.0,Lifestyle,2024-02-13
Retargeting,Facebook Audience Network,Mobile,79.53,1590,715,71,46.0,Lifestyle,2024-02-13
CRM,GDN,Mobile,70.17,1543,695,48,31.0,Infographic,2024-02-13
CRM,Facebook Audience Network,Mobile,50.09,1102,216,15,15.0,Lifestyle,2024-02-13
CRM,Facebook News Feed,Mobile,53.93,1186,90,6,15.0,Product,2024-02-13
Retargeting,Facebook News Feed,Mobile,117.75,2354,197,19,15.0,Product,2024-02-13
Retargeting,Facebook Audience Network,Mobile,100.69,2013,982,98,61.0,Lifestyle,2024-02-13
Prospecting,Facebook Audience Network,Mobile,53.04,1326,398,19,15.0,Lifestyle,2024-02-13
Retargeting,Facebook Audience Network,Desktop,134.94,2698,38,3,15.0,Lifestyle,2024-02-13
Retargeting,Facebook Audience Network,Mobile,89.4,1787,708,70,61.0,Infographic,2024-02-13
Retargeting,Instagram,Desktop,91.94,1838,470,47,31.0,Product,2024-02-13
Retargeting,GDN,Mobile,105.12,2102,78,7,15.0,Product,2024-02-13
CRM,Instagram,Mobile,66.25,1457,93,6,15.0,Product,2024-02-13
Retargeting,GDN,Mobile,139.22,2784,683,68,61.0,Infographic,2024-02-13
Prospecting,GDN,Desktop,55.1,1377,42,2,15.0,Infographic,2024-02-13
Retargeting,GDN,Desktop,116.52,2330,131,13,15.0,Product,2024-02-13
Prospecting,Instagram,Desktop,91.15,2278,76,3,15.0,Product,2024-02-13
Prospecting,Facebook Audience Network,Desktop,77.94,1948,945,47,31.0,Product,2024-02-13
Retargeting,Instagram,Desktop,115.75,2314,38,3,15.0,Lifestyle,2024-02-13
CRM,Instagram,Desktop,69.34,1525,565,39,31.0,Infographic,2024-02-12
Prospecting,GDN,Mobile,59.27,1481,150,7,15.0,Product,2024-02-12
CRM,Facebook News Feed,Mobile,77.5,1704,699,48,46.0,Lifestyle,2024-02-12
CRM,Facebook News Feed,Desktop,44.41,977,463,32,15.0,Product,2024-02-12
Prospecting,Instagram,Desktop,62.97,1574,418,20,15.0,Product,2024-02-12
CRM,GDN,Desktop,57.38,1262,185,12,15.0,Infographic,2024-02-12
Retargeting,Instagram,Desktop,138.5,2769,317,31,31.0,Product,2024-02-12
Retargeting,Instagram,Desktop,93.83,1876,463,46,31.0,Infographic,2024-02-12
Retargeting,Facebook Audience Network,Mobile,99.36,1987,431,43,31.0,Infographic,2024-02-12
Retargeting,GDN,Mobile,128.64,2572,1158,115,77.0,Product,2024-02-12
Retargeting,Facebook News Feed,Mobile,93.99,1879,502,50,31.0,Lifestyle,2024-02-12
Retargeting,Facebook News Feed,Mobile,76.43,1528,684,68,46.0,Product,2024-02-12
CRM,Facebook News Feed,Mobile,55.83,1228,268,18,15.0,Product,2024-02-12
Retargeting,Instagram,Mobile,127.42,2548,436,43,46.0,Product,2024-02-12
Retargeting,GDN,Mobile,101.42,2028,626,62,31.0,Lifestyle,2024-02-12
Prospecting,Facebook Audience Network,Mobile,108.96,2723,550,27,31.0,Infographic,2024-02-12
Retargeting,Facebook News Feed,Desktop,114.76,2295,339,33,31.0,Lifestyle,2024-02-12
CRM,GDN,Desktop,53.55,1178,241,16,15.0,Lifestyle,2024-02-12
Retargeting,Facebook News Feed,Mobile,101.02,2020,220,22,15.0,Product,2024-02-12
CRM,Facebook Audience Network,Mobile,51.47,1132,360,25,15.0,Product,2024-02-12
Prospecting,GDN,Mobile,69.97,1749,839,41,15.0,Lifestyle,2024-02-12
Retargeting,Instagram,Desktop,189.58,3791,770,77,46.0,Infographic,2024-02-12
Retargeting,Instagram,Desktop,120.37,2407,189,18,15.0,Infographic,2024-02-12
CRM,Facebook News Feed,Mobile,68.61,1509,412,28,31.0,Product,2024-02-12
Prospecting,Facebook News Feed,Desktop,70.65,1766,328,16,15.0,Infographic,2024-02-12
Prospecting,GDN,Mobile,103.54,2588,1245,62,46.0,Infographic,2024-02-12
Prospecting,Facebook Audience Network,Mobile,96.49,2412,91,4,15.0,Infographic,2024-02-12
Retargeting,Facebook News Feed,Mobile,137.63,2752,439,43,31.0,Lifestyle,2024-02-12
Retargeting,GDN,Mobile,136.66,2733,1129,112,61.0,Lifestyle,2024-02-12
Retargeting,Facebook Audience Network,Mobile,70.42,1408,244,24,15.0,Product,2024-02-12
CRM,Facebook News Feed,Desktop,48.9,1075,304,21,15.0,Infographic,2024-02-12
Prospecting,Facebook News Feed,Mobile,64.94,1623,554,27,31.0,Product,2024-02-12
Retargeting,GDN,Mobile,81.12,1622,769,76,31.0,Lifestyle,2024-02-12
Retargeting,Facebook News Feed,Mobile,106.47,2129,832,83,31.0,Product,2024-02-12
Retargeting,Instagram,Mobile,88.66,1773,597,59,46.0,Lifestyle,2024-02-12
Retargeting,Facebook Audience Network,Desktop,141.45,2829,96,9,15.0,Lifestyle,2024-02-12
Prospecting,Facebook Audience Network,Mobile,108.57,2714,937,46,31.0,Product,2024-02-12
Prospecting,Instagram,Mobile,79.9,1997,953,47,31.0,Infographic,2024-02-12
CRM,GDN,Desktop,79.55,1750,476,33,31.0,Product,2024-02-12
Retargeting,Instagram,Mobile,129.76,2595,1289,128,77.0,Infographic,2024-02-12
Retargeting,Instagram,Mobile,90.99,1819,574,57,31.0,Product,2024-02-12
Prospecting,Facebook Audience Network,Mobile,49.86,1246,102,5,15.0,Product,2024-02-12
Prospecting,GDN,Mobile,76.73,1918,253,12,15.0,Product,2024-02-12
Prospecting,Facebook News Feed,Desktop,70.33,1758,454,22,15.0,Lifestyle,2024-02-12
Prospecting,Instagram,Mobile,83.1,2077,828,41,31.0,Product,2024-02-12
Retargeting,Instagram,Mobile,101.78,2035,512,51,46.0,Lifestyle,2024-02-12
Prospecting,GDN,Desktop,80.95,2023,665,33,31.0,Lifestyle,2024-02-12
Retargeting,Instagram,Mobile,110.47,2209,34,3,15.0,Lifestyle,2024-02-12
Retargeting,GDN,Mobile,75.75,1514,380,38,31.0,Product,2024-02-12
Retargeting,Facebook News Feed,Desktop,108.23,2164,396,39,31.0,Product,2024-02-12
Retargeting,GDN,Mobile,91.21,1824,26,2,15.0,Product,2024-02-11
Prospecting,Facebook News Feed,Desktop,83.0,2074,305,15,15.0,Product,2024-02-11
Retargeting,GDN,Mobile,119.15,2382,698,69,46.0,Lifestyle,2024-02-11
Prospecting,Instagram,Desktop,61.63,1540,670,33,31.0,Infographic,2024-02-11
CRM,Facebook News Feed,Mobile,57.19,1258,580,40,15.0,Infographic,2024-02-11
Retargeting,Instagram,Mobile,97.63,1952,164,16,15.0,Lifestyle,2024-02-11
Retargeting,Facebook News Feed,Desktop,89.71,1794,257,25,31.0,Lifestyle,2024-02-11
Prospecting,GDN,Mobile,93.5,2337,101,5,15.0,Infographic,2024-02-11
Retargeting,GDN,Desktop,85.59,1711,454,45,31.0,Infographic,2024-02-11
Retargeting,GDN,Desktop,88.89,1777,192,19,15.0,Infographic,2024-02-11
Retargeting,Facebook Audience Network,Desktop,85.8,1716,770,77,61.0,Infographic,2024-02-11
Retargeting,Facebook Audience Network,Desktop,121.84,2436,915,91,61.0,Infographic,2024-02-11
CRM,Facebook News Feed,Mobile,55.08,1211,298,20,15.0,Product,2024-02-11
CRM,Facebook Audience Network,Desktop,64.6,1421,20,1,15.0,Infographic,2024-02-11
Prospecting,GDN,Mobile,109.64,2740,44,2,15.0,Product,2024-02-11
CRM,Facebook Audience Network,Mobile,59.25,1303,479,33,31.0,Product,2024-02-11
CRM,Facebook Audience Network,Desktop,71.12,1564,495,34,15.0,Lifestyle,2024-02-11
Retargeting,Instagram,Desktop,133.43,2668,682,68,46.0,Lifestyle,2024-02-11
CRM,Facebook News Feed,Mobile,70.27,1545,689,48,31.0,Infographic,2024-02-11
Prospecting,Facebook News Feed,Desktop,79.75,1993,222,11,15.0,Lifestyle,2024-02-11
CRM,Facebook News Feed,Mobile,66.42,1461,298,20,15.0,Infographic,2024-02-11
CRM,Facebook Audience Network,Desktop,47.13,1036,480,33,31.0,Lifestyle,2024-02-11
Retargeting,GDN,Mobile,84.4,1687,23,2,15.0,Lifestyle,2024-02-11
Retargeting,Instagram,Mobile,87.91,1758,337,33,31.0,Infographic,2024-02-11
Retargeting,Facebook News Feed,Desktop,144.81,2896,1107,110,77.0,Lifestyle,2024-02-11
Retargeting,Facebook Audience Network,Mobile,83.75,1674,59,5,15.0,Infographic,2024-02-11
CRM,GDN,Mobile,51.73,1137,287,20,15.0,Lifestyle,2024-02-11
CRM,Instagram,Desktop,49.56,1090,516,36,31.0,Infographic,2024-02-11
Retargeting,Instagram,Desktop,111.2,2223,897,89,31.0,Product,2024-02-11
Prospecting,Facebook News Feed,Desktop,82.14,2053,153,7,15.0,Infographic,2024-02-11
Retargeting,Facebook News Feed,Desktop,121.74,2434,280,28,15.0,Lifestyle,2024-02-11
Retargeting,GDN,Desktop,113.43,2268,433,43,15.0,Product,2024-02-11
Retargeting,Facebook Audience Network,Mobile,72.39,1447,341,34,31.0,Product,2024-02-11
